ISO,EVENT_ID_CNTY,EVENT_ID_NO_CNTY,EVENT_DATE,YEAR,TIME_PRECISION,EVENT_TYPE,SUB_EVENT_TYPE,ACTOR1,ASSOC_ACTOR_1,INTER1,ACTOR2,ASSOC_ACTOR_2,INTER2,INTERACTION,REGION,COUNTRY,ADMIN1,ADMIN2,ADMIN3,LOCATION,LATITUDE,LONGITUDE,GEO_PRECISION,SOURCE,SOURCE_SCALE,FATALITIES
840,USA4524,4524,24-May-2020,2020,1,Protests,Peaceful protest,Protesters (United States),,6,,,0,60,North America,United States,Maryland,Baltimore City,,Baltimore,39.29,-76.612,1,Fox45 (Baltimore),Subnational,0
840,USA4525,4525,24-May-2020,2020,1,Protests,Peaceful protest,Protesters (United States),,6,,,0,60,North America,United States,Illinois,Williamson,,Marion,37.731,-88.933,1,Southern Illinoisan,Subnational,0
840,USA4526,4526,24-May-2020,2020,1,Protests,Peaceful protest,Protesters (United States),,6,,,0,60,North America,United States,Ohio,Mahoning,,Youngstown,41.1,-80.65,1,WKBN,Subnational,0
840,USA4527,4527,24-May-2020,2020,1,Protests,Peaceful protest,Protesters (United States),Teachers (United States); Latinx Group (United States),6,,,0,60,North America,United States,New Jersey,Middlesex,,New Brunswick,40.486,-74.452,1,My Central Jersey,Subnational,0
840,USA4528,4528,24-May-2020,2020,1,Protests,Peaceful protest,Protesters (United States),,6,,,0,60,North America,United States,New York,Essex,,Keene,44.256,-73.792,1,Post-Star,Subnational,0
840,USA4529,4529,24-May-2020,2020,1,Protests,Peaceful protest,Protesters (United States),Women (United States),6,,,0,60,North America,United States,New York,Queens,,New York-Queens,40.731,-73.796,1,Queens Chronicle,Subnational,0
840,USA4508,4508,25-May-2020,2020,1,Violence against civilians,Attack,Police Forces of the United States (2017-),,1,Civilians (United States),African American Group (United States),7,17,North America,United States,Minnesota,Hennepin,,Minneapolis,44.983,-93.267,1,New York Times,National,1
840,USA4530,4530,25-May-2020,2020,1,Protests,Protest with intervention,Protesters (United States),GOP: Republican Party; Government of the United States (2017-),6,Police Forces of the United States (2017-),,1,16,North America,United States,Illinois,Cook,,Chicago,41.85,-87.65,1,Chicago Sun-Times; Count Love,Other-Subnational,0
840,USA4532,4532,25-May-2020,2020,1,Protests,Peaceful protest,Protesters (United States),,6,,,0,60,North America,United States,North Carolina,Mecklenburg,,Charlotte,35.227,-80.843,1,WCNC Charlotte,Subnational,0
840,USA4533,4533,25-May-2020,2020,1,Protests,Peaceful protest,Protesters (United States),,6,,,0,60,North America,United States,Kentucky,Franklin,,Frankfort,38.201,-84.874,1,Lex18,Subnational,0
840,USA4534,4534,25-May-2020,2020,1,Protests,Peaceful protest,Protesters (United States),,6,,,0,60,North America,United States,North Carolina,Onslow,,Holly Ridge,34.495,-77.555,1,WNCT,Subnational,0
840,USA4535,4535,25-May-2020,2020,1,Protests,Peaceful protest,Protesters (United States),,6,,,0,60,North America,United States,Pennsylvania,Crawford,,Meadville,41.641,-80.151,1,JET24,Subnational,0
840,USA4536,4536,25-May-2020,2020,1,Protests,Peaceful protest,Protesters (United States),,6,,,0,60,North America,United States,New Jersey,Ocean,,Point Pleasant Beach,40.091,-74.048,1,Bergen Record,Subnational,0
840,USA4537,4537,25-May-2020,2020,1,Protests,Peaceful protest,Protesters (United States),African American Group (United States); Latinx Group (United States); Labour Group (United States),6,,,0,60,North America,United States,Massachusetts,Suffolk,,Boston,42.359,-71.064,1,Boston.com,Subnational,0
840,USA4538,4538,25-May-2020,2020,1,Protests,Peaceful protest,Protesters (United States),,6,,,0,60,North America,United States,New Hampshire,Rockingham,,Hampton,42.938,-70.839,1,Manchester Ink Link,Subnational,0
840,USA4539,4539,26-May-2020,2020,1,Riots,Violent demonstration,Rioters (United States),BLM: Black Lives Matter; Civilians (United States); Journalists (United States); White Nationalists (United States),5,Police Forces of the United States (2017-),,1,15,North America,United States,Minnesota,Hennepin,,Minneapolis,44.983,-93.267,1,Committee to Protect Journalists; Fox9; US Press Freedom Tracker; Twitter; Minnesota Public Radio,Other-New media,0
840,USA4540,4540,26-May-2020,2020,1,Strategic developments,Change to group/activity,Government of the United States (2017-),,1,,,0,10,North America,United States,Florida,Leon,,Tallahassee,30.438,-84.28,3,Reporters Committee for Freedom of the Press,Other,0
840,USA4541,4541,26-May-2020,2020,1,Protests,Peaceful protest,Protesters (United States),BLM: Black Lives Matter,6,,,0,60,North America,United States,Michigan,Washtenaw,,Ann Arbor,42.28,-83.746,1,MLive; Count Love,Other-Subnational,0
840,USA4542,4542,26-May-2020,2020,1,Protests,Peaceful protest,Protesters (United States),BLM: Black Lives Matter,6,,,0,60,North America,United States,Indiana,Lake,,Hammond,41.583,-87.5,1,Count Love; Times of Northwest Indiana,Other-Subnational,0
840,USA4543,4543,26-May-2020,2020,1,Protests,Peaceful protest,Protesters (United States),BLM: Black Lives Matter,6,,,0,60,North America,United States,Michigan,Washtenaw,,Ypsilanti,42.243,-83.618,1,Count Love; MLive,Other-Subnational,0
840,USA4544,4544,26-May-2020,2020,1,Protests,Peaceful protest,Protesters (United States),Students (United States),6,,,0,60,North America,United States,California,Orange,,Costa Mesa,33.641,-117.919,1,Crowd Counting Consortium; Los Angeles Times,Other-Subnational,0
840,USA4546,4546,26-May-2020,2020,1,Protests,Peaceful protest,Protesters (United States),BLM: Black Lives Matter,6,,,0,60,North America,United States,Texas,Harris,,Houston,29.76,-95.364,1,Houston Chronicle; Crowd Counting Consortium,Other-Subnational,0
840,USA4547,4547,26-May-2020,2020,1,Riots,Violent demonstration,Rioters (United States),BLM: Black Lives Matter,5,Police Forces of the United States (2017-),,1,15,North America,United States,California,Los Angeles,,Los Angeles,34.043,-118.25,1,Los Angeles Times; Crowd Counting Consortium,Other-Subnational,0
840,USA4548,4548,26-May-2020,2020,1,Protests,Peaceful protest,Protesters (United States),Labour Group (United States),6,,,0,60,North America,United States,Pennsylvania,Philadelphia,,Philadelphia,39.952,-75.164,1,Fox29; Metro International; Crowd Counting Consortium,Other-Subnational,0
