Date|AQSID|Sitename|Parameter name|Reporting units|Value|Averaging period|Data Source
01/01/20|000010102|St. John's|OZONE-1HR|PPB|35|1|Newfoundland & Labrador DEC
01/01/20|000010102|St. John's|OZONE-8HR|PPB|34|8|Newfoundland & Labrador DEC
01/01/20|000010401|Mount Pearl|OZONE-1HR|PPB|27|1|Newfoundland & Labrador DEC
01/01/20|000010401|Mount Pearl|OZONE-8HR|PPB|26|8|Newfoundland & Labrador DEC
01/01/20|000010401|Mount Pearl|PM2.5-24hr|UG/M3|5|24|Newfoundland & Labrador DEC
01/01/20|000010501|Grand Falls Windsor|OZONE-1HR|PPB|41|1|Newfoundland & Labrador DEC
01/01/20|000010501|Grand Falls Windsor|OZONE-8HR|PPB|40|8|Newfoundland & Labrador DEC
01/01/20|000010601|Goose Bay|OZONE-1HR|PPB|34|1|Canadian Air and Precipitation Monitoring Network
01/01/20|000010601|Goose Bay|OZONE-8HR|PPB|36|8|Canadian Air and Precipitation Monitoring Network
01/01/20|000010602|MacPherson Avenue - |PM2.5-24hr|UG/M3|3.3|24|Environment Canada
01/01/20|000010801|Port au Choix|OZONE-1HR|PPB|35|1|Newfoundland & Labrador DEC
01/01/20|000010901|Marystown/Burin|PM2.5-24hr|UG/M3|4.6|24|Environment Canada
01/01/20|000011002|FIREHALL-LABRADORCIT|PM2.5-24hr|UG/M3|2.7|24|Environment Canada
01/01/20|000020104|CHARLOTTETOWN|OZONE-1HR|PPB|27|1|Environment Canada
01/01/20|000020104|CHARLOTTETOWN|OZONE-8HR|PPB|26|8|Environment Canada
01/01/20|000020104|CHARLOTTETOWN|PM2.5-24hr|UG/M3|5.7|24|Environment Canada
01/01/20|000020104|CHARLOTTETOWN|SO2-24HR|PPB|0|24|Environment Canada
01/01/20|000020301|WELLINGTON|OZONE-1HR|PPB|39|1|Environment Canada
01/01/20|000020301|WELLINGTON|OZONE-8HR|PPB|35|8|Environment Canada
01/01/20|000020301|WELLINGTON|PM2.5-24hr|UG/M3|2.5|24|Environment Canada
01/01/20|000020401|SOUTHAMPTON|OZONE-1HR|PPB|45|1|Environment Canada
01/01/20|000020401|SOUTHAMPTON|OZONE-8HR|PPB|37|8|Environment Canada
01/01/20|000030113|JOHNSTON BUILDING -|PM2.5-24hr|UG/M3|4.2|24|Environment Canada
01/01/20|000030201|PORT HAWKESBURY|OZONE-1HR|PPB|45|1|Environment Canada
01/01/20|000030201|PORT HAWKESBURY|OZONE-8HR|PPB|33|8|Environment Canada
01/01/20|000030201|PORT HAWKESBURY|PM2.5-24hr|UG/M3|3.1|24|Environment Canada
01/01/20|000030310|SYDNEY|OZONE-1HR|PPB|42|1|Environment Canada
01/01/20|000030310|SYDNEY|OZONE-8HR|PPB|34|8|Environment Canada
01/01/20|000030310|SYDNEY|PM2.5-24hr|UG/M3|4.2|24|Environment Canada
01/01/20|000030310|SYDNEY|SO2-24HR|PPB|0|24|Environment Canada
01/01/20|000030502|Kejimkujik Site B|OZONE-1HR|PPB|37|1|Canadian Air and Precipitation Monitoring Network
01/01/20|000030502|Kejimkujik Site B|OZONE-8HR|PPB|30|8|Canadian Air and Precipitation Monitoring Network
01/01/20|000030701|AYLESFORD MOUNTAIN|OZONE-1HR|PPB|37|1|Environment Canada
01/01/20|000030701|AYLESFORD MOUNTAIN|OZONE-8HR|PPB|32|8|Environment Canada
01/01/20|000030701|AYLESFORD MOUNTAIN|PM2.5-24hr|UG/M3|2.9|24|Environment Canada
01/01/20|000030901|PICTOU|OZONE-1HR|PPB|41|1|Environment Canada
01/01/20|000030901|PICTOU|OZONE-8HR|PPB|34|8|Environment Canada
01/01/20|000030901|PICTOU|PM2.5-24hr|UG/M3|2.7|24|Environment Canada
01/01/20|000031101|KENTVILLE|OZONE-1HR|PPB|39|1|Environment Canada
01/01/20|000031101|KENTVILLE|OZONE-8HR|PPB|35|8|Environment Canada
01/01/20|000031101|KENTVILLE|PM2.5-24hr|UG/M3|3.5|24|Environment Canada
01/01/20|000040104|FREDERICTON-NEEDHAM |OZONE-1HR|PPB|35|1|Environment Canada
01/01/20|000040104|FREDERICTON-NEEDHAM |OZONE-8HR|PPB|33|8|Environment Canada
01/01/20|000040104|FREDERICTON-NEEDHAM |PM2.5-24hr|UG/M3|2.7|24|Environment Canada
01/01/20|000040203|FOREST HILLS|OZONE-1HR|PPB|35|1|Environment Canada
01/01/20|000040203|FOREST HILLS|OZONE-8HR|PPB|32|8|Environment Canada
01/01/20|000040203|FOREST HILLS|PM2.5-24hr|UG/M3|2.1|24|Environment Canada
01/01/20|000040207|SAINT JOHN WEST|OZONE-1HR|PPB|36|1|Environment Canada
01/01/20|000040207|SAINT JOHN WEST|OZONE-8HR|PPB|32|8|Environment Canada
01/01/20|000040207|SAINT JOHN WEST|PM2.5-24hr|UG/M3|2.2|24|Environment Canada
01/01/20|000040209|CASTLE ST. SAINT JO|PM2.5-24hr|UG/M3|2|24|Environment Canada
01/01/20|000040302|MONCTON|OZONE-1HR|PPB|29|1|Environment Canada
01/01/20|000040302|MONCTON|OZONE-8HR|PPB|28|8|Environment Canada
01/01/20|000040302|MONCTON|PM2.5-24hr|UG/M3|2.5|24|Environment Canada
01/01/20|000040901|ST ANDREWS|OZONE-1HR|PPB|36|1|Environment Canada
01/01/20|000040901|ST ANDREWS|OZONE-8HR|PPB|29|8|Environment Canada
01/01/20|000040901|ST ANDREWS|PM2.5-24hr|UG/M3|2.2|24|Environment Canada
01/01/20|000041302|BATHURST|OZONE-1HR|PPB|43|1|Environment Canada
01/01/20|000041302|BATHURST|OZONE-8HR|PPB|41|8|Environment Canada
01/01/20|000041302|BATHURST|PM2.5-24hr|UG/M3|1.4|24|Environment Canada
01/01/20|000041501|EDMUNDSTON QUEEN ST.|PM2.5-24hr|UG/M3|3.7|24|Environment Canada
01/01/20|000050113|Chomedey|OZONE-1HR|PPB|37|1|Meteorological Service of Canada
01/01/20|000050113|Chomedey|OZONE-8HR|PPB|35|8|Meteorological Service of Canada
01/01/20|000050204|Hull (Ile)|OZONE-1HR|PPB|37|1|Meteorological Service of Canada
01/01/20|000050204|Hull (Ile)|OZONE-8HR|PPB|35|8|Meteorological Service of Canada
01/01/20|000050308|Des Sables|OZONE-1HR|PPB|35|1|Meteorological Service of Canada
01/01/20|000050308|Des Sables|OZONE-8HR|PPB|30|8|Meteorological Service of Canada
01/01/20|000050311|Parc Primavere|OZONE-1HR|PPB|34|1|Environment Canada
01/01/20|000050311|Parc Primavere|OZONE-8HR|PPB|30|8|Environment Canada
01/01/20|000050311|Parc Primavere|PM2.5-24hr|UG/M3|6.4|24|Environment Canada
01/01/20|000050404|Parc Cambron|OZONE-1HR|PPB|30|1|Meteorological Service of Canada
01/01/20|000050404|Parc Cambron|OZONE-8HR|PPB|35|8|Meteorological Service of Canada
01/01/20|000050604|Parc Tremblay|OZONE-1HR|PPB|32|1|Meteorological Service of Canada
01/01/20|000050604|Parc Tremblay|OZONE-8HR|PPB|30|8|Meteorological Service of Canada
01/01/20|000051501|Zephirin|OZONE-1HR|PPB|31|1|Meteorological Service of Canada
01/01/20|000051501|Zephirin|OZONE-8HR|PPB|35|8|Meteorological Service of Canada
01/01/20|000051501|Zephirin|PM2.5-24hr|UG/M3|6.5|24|Meteorological Service of Canada
01/01/20|000052001|Charette|OZONE-1HR|PPB|33|1|Meteorological Service of Canada
01/01/20|000052001|Charette|OZONE-8HR|PPB|29|8|Meteorological Service of Canada
